iter	Passed	Remaining
1017	94729	98637
1018	94814	98536
1019	94907	98443
1020	95003	98353
1021	95095	98258
1022	95196	98173
1023	95295	98087
1024	95395	98001
1025	95495	97915
1026	95614	97848
1027	95719	97767
1028	95814	97676
1029	95882	97558
1030	95986	97476
1031	96096	97399
1032	96179	97297
1033	96282	97213
1034	96352	97097
1035	96450	97009
1036	96530	96902
1037	96631	96817
1038	96734	96734
1039	96837	96651
1040	96930	96557
1041	97011	96452
1042	97106	96361
1043	97189	96258
1044	97270	96153
1045	97392	96089
1046	97471	95981
1047	97577	95901
1048	97677	95815
1049	97779	95730
1050	97877	95642
1051	97952	95532
1052	98042	95435
1053	98145	95351
1054	98247	95267
1055	98338	95172
1056	98434	95081
1057	98534	94995
1058	98630	94904
1059	98713	94802
1060	98795	94698
1061	98894	94610
1062	99000	94530
1063	99098	94441
1064	99174	94332
1065	99261	94232
1066	99357	94143
1067	99458	94056
1068	99543	93956
1069	99639	93866
1070	99720	93761
1071	99809	93664
1072	99894	93564
1073	99990	93473
1074	100096	93392
1075	100175	93285
1076	100259	93184
1077	100381	93118
1078	100477	93027
1079	100567	92931
1080	100665	92843
1081	100746	92738
1082	100838	92644
1083	100914	92535
1084	100994	92431
1085	101095	92344
1086	101201	92263
1087	101306	92181
1088	101405	92093
1089	101509	92010
1090	101611	91925
1091	101693	91821
1092	101776	91719
1093	101875	91631
1094	101976	91545
1095	102084	91466
1096	102181	91376
1097	102281	91289
1098	102363	91186
1099	102450	91088
1100	102544	90995
1101	102650	90913
1102	102755	90830
1103	102859	90747
1104	102952	90654
1105	103063	90576
1106	103145	90473
1107	103244	90385
1108	103348	90301
1109	103461	90225
1110	103574	90149
1111	103683	90070
1112	103775	89976
1113	103846	89863
1114	103948	89777
1115	104043	89686
1116	104142	89598
1117	104225	89496
1118	104312	89397
1119	104417	89314
1120	104532	89239
1121	104641	89159
1122	104756	89085
1123	104857	88997
1124	104929	88887
1125	105014	88786
1126	105094	88682
1127	105178	88581
1128	105280	88495
1129	105363	88393
1130	105477	88317
1131	105576	88228
1132	105658	88126
1133	105762	88042
1134	105856	87949
1135	105958	87863
1136	106050	87768
1137	106147	87678
1138	106240	87585
1139	106351	87506
1140	106449	87416
1141	106544	87325
1142	106645	87238
1143	106746	87151
1144	106846	87063
1145	106947	86976
1146	107026	86871
1147	107116	86775
1148	107211	86683
1149	107295	86582
1150	107390	86491
1151	107464	86382
1152	107561	86292
1153	107663	86205
1154	107769	86122
1155	107857	86024
1156	107939	85922
1157	108053	85845
1158	108145	85750
1159	108232	85652
1160	108327	85560
1161	108426	85472
1162	108518	85377
1163	108617	85289
1164	108708	85194
1165	108799	85098
1166	108873	84990
1167	108976	84904
1168	109079	84818
1169	109186	84735
1170	109260	84628
1171	109360	84539
1172	109452	84445
1173	109531	84340
1174	109608	84235
1175	109688	84131
1176	109791	84046
1177	109885	83953
1178	109972	83855
1179	110058	83756
1180	110157	83667
1181	110247	83571
1182	110346	83482
1183	110420	83374
1184	110489	83263
1185	110599	83182
1186	110683	83082
1187	110782	82993
1188	110854	82884
1189	110968	82807
1190	111045	82701
1191	111128	82600
1192	111215	82502
1193	111298	82401
1194	111380	82300
1195	111481	82213
1196	111560	82109
1197	111638	82005
1198	111705	81892
1199	111795	81796
1200	111895	81708
1201	111979	81608
1202	112076	81518
1203	112191	81441
1204	112269	81336
1205	112360	81242
1206	112457	81151
1207	112541	81052
1208	112644	80965
1209	112738	80873
1210	112823	80774
1211	112918	80682
1212	113002	80583
1213	113096	80490
1214	113204	80407
1215	113308	80322
1216	113408	80234
1217	113501	80140
1218	113608	80057
1219	113701	79963
1220	113803	79876
1221	113891	79779
1222	113993	79692
1223	114083	79597
1224	114177	79505
1225	114276	79415
1226	114360	79316
1227	114444	79216
1228	114544	79127
1229	114642	79038
1230	114739	78947
1231	114825	78849
1232	114916	78754
1233	115003	78657
1234	115104	78569
1235	115207	78482
1236	115294	78385
1237	115382	78288
1238	115475	78195
1239	115574	78106
1240	115670	78014
1241	115758	77918
1242	115871	77838
1243	115967	77746
1244	116066	77657
1245	116155	77561
1246	116246	77466
1247	116342	77375
1248	116438	77284
1249	116540	77196
1250	116653	77116
1251	116759	77031
1252	116842	76931
1253	116916	76825
1254	117001	76727
1255	117102	76638
1256	117202	76549
1257	117308	76464
1258	117410	76377
1259	117478	76267
1260	117583	76182
1261	117667	76082
1262	117744	75978
1263	117835	75884
1264	117937	75796
1265	118022	75698
1266	118108	75600
1267	118201	75507
1268	118304	75420
1269	118393	75324
